Watchtower ID: WT3030WFXSP, Postcode: 3030, Population Served: 16718, Watchtower Point of Contact Name: Adam Guess, x: 144.658381, y: -37.920393, Diameter of Cell: 0.133228
Watchtower ID: WT3170XJVWP, Postcode: 3170, Population Served: 9684, Watchtower Point of Contact Name: Lucy Lahay, x: 145.175532, y: -37.936150, Diameter of Cell: 0.039545
Watchtower ID: WT3006GWSXT, Postcode: 3006, Population Served: 18808, Watchtower Point of Contact Name: Anthony Haynes, x: 144.959075, y: -37.829026, Diameter of Cell: 0.035773
Watchtower ID: WT3068YCBLO, Postcode: 3068, Population Served: 18662, Watchtower Point of Contact Name: Pinkie Perez, x: 144.995962, y: -37.782888, Diameter of Cell: 0.016111
Watchtower ID: WT3031DMFGC, Postcode: 3031, Population Served: 6177, Watchtower Point of Contact Name: Caroline Luckenbach, x: 144.907070, y: -37.787679, Diameter of Cell: 0.022355
Watchtower ID: WT3031UFTFA, Postcode: 3031, Population Served: 6177, Watchtower Point of Contact Name: Christina Sanders, x: 144.904802, y: -37.799994, Diameter of Cell: 0.024569
Watchtower ID: WT3031MEYAX, Postcode: 3031, Population Served: 6177, Watchtower Point of Contact Name: Kyle Johnson, x: 144.904851, y: -37.778910, Diameter of Cell: 0.027416
Watchtower ID: WT3127KDCFK, Postcode: 3127, Population Served: 9222, Watchtower Point of Contact Name: Robert Garrison, x: 145.114690, y: -37.817428, Diameter of Cell: 0.030141
Watchtower ID: WT3127FDBCA, Postcode: 3127, Population Served: 9222, Watchtower Point of Contact Name: Anthony Dawson, x: 145.114101, y: -37.835590, Diameter of Cell: 0.016021
Watchtower ID: WT3677BNBDA, Postcode: 3677, Population Served: 6034, Watchtower Point of Contact Name: Gerald Worstell, x: 146.336355, y: -36.335075, Diameter of Cell: 0.407907
Watchtower ID: WT3677EEGBM, Postcode: 3677, Population Served: 6034, Watchtower Point of Contact Name: Wesley Bond, x: 146.296701, y: -36.344999, Diameter of Cell: 0.158098
Watchtower ID: WT3677TIDLO, Postcode: 3677, Population Served: 6034, Watchtower Point of Contact Name: Derrick Payne, x: 146.273822, y: -36.386156, Diameter of Cell: 0.334375
Watchtower ID: WT3048LSNRB, Postcode: 3048, Population Served: 18029, Watchtower Point of Contact Name: Melissa Woodson, x: 144.942027, y: -37.661103, Diameter of Cell: 0.078049
Watchtower ID: WT3228HJCOK, Postcode: 3228, Population Served: 2562, Watchtower Point of Contact Name: Paul Mcdonald, x: 144.302599, y: -38.294963, Diameter of Cell: 0.120455
Watchtower ID: WT3228ACWJQ, Postcode: 3228, Population Served: 2562, Watchtower Point of Contact Name: Tonia Olson, x: 144.313703, y: -38.336500, Diameter of Cell: 0.099588
Watchtower ID: WT3228PSYGN, Postcode: 3228, Population Served: 2562, Watchtower Point of Contact Name: Raul Jackson, x: 144.192597, y: -38.323917, Diameter of Cell: 0.210632
Watchtower ID: WT3228MNYNJ, Postcode: 3228, Population Served: 2562, Watchtower Point of Contact Name: Lewis Shephard, x: 144.321896, y: -38.370791, Diameter of Cell: 0.801628
Watchtower ID: WT3228QIIVY, Postcode: 3228, Population Served: 2562, Watchtower Point of Contact Name: Carl Whitley, x: 144.358100, y: -38.351585, Diameter of Cell: 0.459162
Watchtower ID: WT3228NIQQU, Postcode: 3228, Population Served: 2562, Watchtower Point of Contact Name: Thomas Sood, x: 144.224854, y: -38.384604, Diameter of Cell: 0.346648
Watchtower ID: WT3228VYIQE, Postcode: 3228, Population Served: 2562, Watchtower Point of Contact Name: Helen Perez, x: 144.213501, y: -38.388428, Diameter of Cell: 0.544810
Watchtower ID: WT3930SMQKC, Postcode: 3930, Population Served: 4472, Watchtower Point of Contact Name: Rodney Griffith, x: 145.083677, y: -38.202184, Diameter of Cell: 0.097621
Watchtower ID: WT3930YXHXA, Postcode: 3930, Population Served: 4472, Watchtower Point of Contact Name: Brittany Chen, x: 145.070530, y: -38.223968, Diameter of Cell: 0.104455
Watchtower ID: WT3930LRSVX, Postcode: 3930, Population Served: 4472, Watchtower Point of Contact Name: Larry Kampman, x: 145.062028, y: -38.209569, Diameter of Cell: 0.236523
Watchtower ID: WT3930EYEUK, Postcode: 3930, Population Served: 4472, Watchtower Point of Contact Name: Kim Rowell, x: 145.112327, y: -38.205866, Diameter of Cell: 0.084898
Watchtower ID: WT3043FYBGJ, Postcode: 3043, Population Served: 17716, Watchtower Point of Contact Name: Kay Mitchell, x: 144.910670, y: -37.683474, Diameter of Cell: 0.031239
Watchtower ID: WT3015PKLER, Postcode: 3015, Population Served: 8736, Watchtower Point of Contact Name: Bill Kilbane, x: 144.897918, y: -37.825808, Diameter of Cell: 0.044925
Watchtower ID: WT3015IKLNZ, Postcode: 3015, Population Served: 8736, Watchtower Point of Contact Name: Nancy Martinez, x: 144.900846, y: -37.822844, Diameter of Cell: 0.025948
Watchtower ID: WT3162WLIAO, Postcode: 3162, Population Served: 17448, Watchtower Point of Contact Name: Carol Smith, x: 145.037950, y: -37.893085, Diameter of Cell: 0.047659
Watchtower ID: WT3129LJJMB, Postcode: 3129, Population Served: 17376, Watchtower Point of Contact Name: Michael Pilkington, x: 145.103775, y: -37.799159, Diameter of Cell: 0.020480
Watchtower ID: WT3106WCDTM, Postcode: 3106, Population Served: 2374, Watchtower Point of Contact Name: Maria Guinn, x: 145.129204, y: -37.767772, Diameter of Cell: 0.030760
Watchtower ID: WT3106WQFPR, Postcode: 3106, Population Served: 2374, Watchtower Point of Contact Name: Mary Bass, x: 145.142741, y: -37.731835, Diameter of Cell: 0.035771
Watchtower ID: WT3106RKPDZ, Postcode: 3106, Population Served: 2374, Watchtower Point of Contact Name: Alexis Turner, x: 145.122538, y: -37.765668, Diameter of Cell: 0.023593
Watchtower ID: WT3106WEMMG, Postcode: 3106, Population Served: 2374, Watchtower Point of Contact Name: Mary Brassfield, x: 145.138313, y: -37.766710, Diameter of Cell: 0.037281
Watchtower ID: WT3106RGMJJ, Postcode: 3106, Population Served: 2374, Watchtower Point of Contact Name: Barbara Hippler, x: 145.137881, y: -37.749569, Diameter of Cell: 0.025807
Watchtower ID: WT3106WWQAH, Postcode: 3106, Population Served: 2374, Watchtower Point of Contact Name: Melissa Wiggins, x: 145.144709, y: -37.741228, Diameter of Cell: 0.031140
Watchtower ID: WT3106HTUYW, Postcode: 3106, Population Served: 2374, Watchtower Point of Contact Name: David Bryan, x: 145.144940, y: -37.745503, Diameter of Cell: 0.033836
Watchtower ID: WT3140WMMWJ, Postcode: 3140, Population Served: 5510, Watchtower Point of Contact Name: Johnny Henderson, x: 145.387046, y: -37.732012, Diameter of Cell: 0.064121
Watchtower ID: WT3140RDCJV, Postcode: 3140, Population Served: 5510, Watchtower Point of Contact Name: Amanda Stoeckel, x: 145.403308, y: -37.740105, Diameter of Cell: 0.135766
Watchtower ID: WT3140IVMEB, Postcode: 3140, Population Served: 5510, Watchtower Point of Contact Name: Michele Erben, x: 145.394342, y: -37.724073, Diameter of Cell: 0.088650
Watchtower ID: WT3840LNPIC, Postcode: 3840, Population Served: 5492, Watchtower Point of Contact Name: Maria Payne, x: 146.344559, y: -38.273336, Diameter of Cell: 0.233514
Watchtower ID: WT3840TZEPL, Postcode: 3840, Population Served: 5492, Watchtower Point of Contact Name: Charles Finley, x: 146.471759, y: -38.368920, Diameter of Cell: 0.258562
Watchtower ID: WT3840HGKLT, Postcode: 3840, Population Served: 5492, Watchtower Point of Contact Name: Kathleen Mcnutt, x: 146.406944, y: -38.171959, Diameter of Cell: 0.316277
Watchtower ID: WT3198HLLOO, Postcode: 3198, Population Served: 8231, Watchtower Point of Contact Name: Gretta Webb, x: 145.145606, y: -38.123088, Diameter of Cell: 0.061826
Watchtower ID: WT3198JMWVV, Postcode: 3198, Population Served: 8231, Watchtower Point of Contact Name: Kyle Flores, x: 145.143048, y: -38.103484, Diameter of Cell: 0.042201
Watchtower ID: WT3220GKZKP, Postcode: 3220, Population Served: 8176, Watchtower Point of Contact Name: Belen Ward, x: 144.360166, y: -38.148308, Diameter of Cell: 0.106850
Watchtower ID: WT3220ZIKZX, Postcode: 3220, Population Served: 8176, Watchtower Point of Contact Name: Michael Smith, x: 144.364774, y: -38.141643, Diameter of Cell: 0.094642
Watchtower ID: WT3356PYGHP, Postcode: 3356, Population Served: 16321, Watchtower Point of Contact Name: Patricia Randolph, x: 143.845179, y: -37.587544, Diameter of Cell: 0.318226
Watchtower ID: WT3187GYVQY, Postcode: 3187, Population Served: 2285, Watchtower Point of Contact Name: Diana Anderson, x: 145.006706, y: -37.929153, Diameter of Cell: 0.020224
Watchtower ID: WT3187STKWW, Postcode: 3187, Population Served: 2285, Watchtower Point of Contact Name: Rosalyn Gagne, x: 145.014861, y: -37.930296, Diameter of Cell: 0.023538
Watchtower ID: WT3187VKZRS, Postcode: 3187, Population Served: 2285, Watchtower Point of Contact Name: Rhonda Houston, x: 145.012393, y: -37.915893, Diameter of Cell: 0.017669
Watchtower ID: WT3187APRIK, Postcode: 3187, Population Served: 2285, Watchtower Point of Contact Name: Michael Rumph, x: 145.016261, y: -37.907326, Diameter of Cell: 0.028284
Watchtower ID: WT3187VBBYP, Postcode: 3187, Population Served: 2285, Watchtower Point of Contact Name: Benita Seip, x: 145.017310, y: -37.931288, Diameter of Cell: 0.034506
Watchtower ID: WT3187KANGU, Postcode: 3187, Population Served: 2285, Watchtower Point of Contact Name: Ivan Bragg, x: 145.003150, y: -37.927141, Diameter of Cell: 0.023985
Watchtower ID: WT3187ISKAN, Postcode: 3187, Population Served: 2285, Watchtower Point of Contact Name: Rosemarie White, x: 145.016736, y: -37.913804, Diameter of Cell: 0.026753
Watchtower ID: WT3352KHBBN, Postcode: 3352, Population Served: 15996, Watchtower Point of Contact Name: Richard Askew, x: 143.604199, y: -37.722433, Diameter of Cell: 0.417645
Watchtower ID: WT3079LUHNU, Postcode: 3079, Population Served: 5329, Watchtower Point of Contact Name: Michael Hackett, x: 145.046167, y: -37.759456, Diameter of Cell: 0.047986
Watchtower ID: WT3079YIXPG, Postcode: 3079, Population Served: 5329, Watchtower Point of Contact Name: Julia Mendez, x: 145.024454, y: -37.763206, Diameter of Cell: 0.047824
Watchtower ID: WT3079QORWG, Postcode: 3079, Population Served: 5329, Watchtower Point of Contact Name: Jerry Somogyi, x: 145.053620, y: -37.760926, Diameter of Cell: 0.048800
Watchtower ID: WT3820XLQYV, Postcode: 3820, Population Served: 3988, Watchtower Point of Contact Name: Ilene Lotthammer, x: 145.898765, y: -38.219406, Diameter of Cell: 0.137150
Watchtower ID: WT3820PEKRB, Postcode: 3820, Population Served: 3988, Watchtower Point of Contact Name: Jennifer Sutton, x: 145.983912, y: -38.180697, Diameter of Cell: 0.128057
Watchtower ID: WT3820MWDUD, Postcode: 3820, Population Served: 3988, Watchtower Point of Contact Name: Robert Hsu, x: 145.883735, y: -38.110247, Diameter of Cell: 0.193096
Watchtower ID: WT3820DRLAO, Postcode: 3820, Population Served: 3988, Watchtower Point of Contact Name: Margarito Deane, x: 145.911829, y: -38.194831, Diameter of Cell: 0.116123
Watchtower ID: WT3564XBKCM, Postcode: 3564, Population Served: 7972, Watchtower Point of Contact Name: Josephine Gilman, x: 144.941750, y: -36.126490, Diameter of Cell: 0.290000
Watchtower ID: WT3564ZZDZJ, Postcode: 3564, Population Served: 7972, Watchtower Point of Contact Name: Herschel Boyles, x: 144.837858, y: -36.052981, Diameter of Cell: 0.841019
Watchtower ID: WT3016QHOGE, Postcode: 3016, Population Served: 15560, Watchtower Point of Contact Name: Eugene Etheridge, x: 144.882128, y: -37.853295, Diameter of Cell: 0.152803
Watchtower ID: WT3103UGROF, Postcode: 3103, Population Served: 7671, Watchtower Point of Contact Name: Anthony Cruz, x: 145.071958, y: -37.802380, Diameter of Cell: 0.037255
Watchtower ID: WT3103BQYBO, Postcode: 3103, Population Served: 7671, Watchtower Point of Contact Name: Mamie Brooker, x: 145.089016, y: -37.807123, Diameter of Cell: 0.027321
Watchtower ID: WT3161WKJSH, Postcode: 3161, Population Served: 15269, Watchtower Point of Contact Name: Blake Crippen, x: 145.022059, y: -37.869647, Diameter of Cell: 0.028917
Watchtower ID: WT3125UPUEW, Postcode: 3125, Population Served: 3003, Watchtower Point of Contact Name: Lloyd Larsen, x: 145.098518, y: -37.854562, Diameter of Cell: 0.028562
Watchtower ID: WT3125NGSQN, Postcode: 3125, Population Served: 3003, Watchtower Point of Contact Name: David Sams, x: 145.108505, y: -37.841983, Diameter of Cell: 0.024124
Watchtower ID: WT3125GLAPQ, Postcode: 3125, Population Served: 3003, Watchtower Point of Contact Name: Robert Bush, x: 145.107840, y: -37.852238, Diameter of Cell: 0.015650
Watchtower ID: WT3125JMVUR, Postcode: 3125, Population Served: 3003, Watchtower Point of Contact Name: Gerald Haynes, x: 145.099393, y: -37.853634, Diameter of Cell: 0.024117
Watchtower ID: WT3125LLLNT, Postcode: 3125, Population Served: 3003, Watchtower Point of Contact Name: Joan Henderson, x: 145.112757, y: -37.860373, Diameter of Cell: 0.018905
Watchtower ID: WT3222VJRRD, Postcode: 3222, Population Served: 2493, Watchtower Point of Contact Name: Rick Peterson, x: 144.535916, y: -38.158005, Diameter of Cell: 0.105852
Watchtower ID: WT3222LIXKY, Postcode: 3222, Population Served: 2493, Watchtower Point of Contact Name: Roberta Bies, x: 144.622235, y: -38.242395, Diameter of Cell: 0.032507
Watchtower ID: WT3222VBZHL, Postcode: 3222, Population Served: 2493, Watchtower Point of Contact Name: Lucille Mcdonald, x: 144.564690, y: -38.232142, Diameter of Cell: 0.086143
Watchtower ID: WT3222PZVVW, Postcode: 3222, Population Served: 2493, Watchtower Point of Contact Name: Sallie Shiver, x: 144.631692, y: -38.251486, Diameter of Cell: 0.086824
Watchtower ID: WT3222CPWEC, Postcode: 3222, Population Served: 2493, Watchtower Point of Contact Name: Mackenzie Curbelo, x: 144.631061, y: -38.149022, Diameter of Cell: 0.249208
Watchtower ID: WT3222BXTZZ, Postcode: 3222, Population Served: 2493, Watchtower Point of Contact Name: Morris Rutherford, x: 144.526924, y: -38.143758, Diameter of Cell: 0.125565
Watchtower ID: WT3850WPPZJ, Postcode: 3850, Population Served: 14779, Watchtower Point of Contact Name: Scott Buggie, x: 146.996710, y: -38.111204, Diameter of Cell: 0.387303
Watchtower ID: WT3147QAQPS, Postcode: 3147, Population Served: 4879, Watchtower Point of Contact Name: Mark Hinton, x: 145.075414, y: -37.863627, Diameter of Cell: 0.036539
Watchtower ID: WT3147NMGOD, Postcode: 3147, Population Served: 4879, Watchtower Point of Contact Name: Tracy Bowling, x: 145.074438, y: -37.858720, Diameter of Cell: 0.030596
Watchtower ID: WT3147GJGOI, Postcode: 3147, Population Served: 4879, Watchtower Point of Contact Name: Cornelius Massengale, x: 145.088086, y: -37.874757, Diameter of Cell: 0.024262
Watchtower ID: WT3400BOZRI, Postcode: 3400, Population Served: 14543, Watchtower Point of Contact Name: Tom Davis, x: 142.205687, y: -36.700923, Diameter of Cell: 0.532384
Watchtower ID: WT3033ORKFG, Postcode: 3033, Population Served: 14514, Watchtower Point of Contact Name: Robert Ellsworth, x: 144.882820, y: -37.742568, Diameter of Cell: 0.055085
Watchtower ID: WT3123AWJNB, Postcode: 3123, Population Served: 7160, Watchtower Point of Contact Name: Marla Siddon, x: 145.058652, y: -37.837454, Diameter of Cell: 0.035353
Watchtower ID: WT3123YZTIF, Postcode: 3123, Population Served: 7160, Watchtower Point of Contact Name: Paul Earwood, x: 145.059550, y: -37.827716, Diameter of Cell: 0.030681
Watchtower ID: WT3039PBUWA, Postcode: 3039, Population Served: 14250, Watchtower Point of Contact Name: William Loudermilk, x: 144.925695, y: -37.765896, Diameter of Cell: 0.028614
Watchtower ID: WT3224GRCHF, Postcode: 3224, Population Served: 1773, Watchtower Point of Contact Name: Maria France, x: 144.443585, y: -38.210362, Diameter of Cell: 0.077877
Watchtower ID: WT3224ZMKSY, Postcode: 3224, Population Served: 1773, Watchtower Point of Contact Name: Helen Givens, x: 144.411797, y: -38.157491, Diameter of Cell: 0.097663
Watchtower ID: WT3224TNYRI, Postcode: 3224, Population Served: 1773, Watchtower Point of Contact Name: Michael Israel, x: 144.436550, y: -38.239653, Diameter of Cell: 0.079241
Watchtower ID: WT3224WHHVC, Postcode: 3224, Population Served: 1773, Watchtower Point of Contact Name: Janis Bagwell, x: 144.457857, y: -38.186164, Diameter of Cell: 0.107938
Watchtower ID: WT3224QJEKV, Postcode: 3224, Population Served: 1773, Watchtower Point of Contact Name: Bonnie Yearout, x: 144.398961, y: -38.148372, Diameter of Cell: 0.098923
Watchtower ID: WT3224VWVGY, Postcode: 3224, Population Served: 1773, Watchtower Point of Contact Name: Carl Smith, x: 144.439397, y: -38.180367, Diameter of Cell: 0.085971
Watchtower ID: WT3224OGJJN, Postcode: 3224, Population Served: 1773, Watchtower Point of Contact Name: Shirley Hall, x: 144.428495, y: -38.218028, Diameter of Cell: 0.033064
Watchtower ID: WT3224DHBWH, Postcode: 3224, Population Served: 1773, Watchtower Point of Contact Name: Marvin Solis, x: 144.417746, y: -38.234793, Diameter of Cell: 0.048835
Watchtower ID: WT3818GNUCA, Postcode: 3818, Population Served: 14167, Watchtower Point of Contact Name: Theodore Foreman, x: 145.789514, y: -38.116760, Diameter of Cell: 0.153022
Watchtower ID: WT3226KFMJB, Postcode: 3226, Population Served: 4721, Watchtower Point of Contact Name: James Sturkie, x: 144.530867, y: -38.280598, Diameter of Cell: 0.282222
Watchtower ID: WT3226NDZWQ, Postcode: 3226, Population Served: 4721, Watchtower Point of Contact Name: Lloyd Smith, x: 144.532064, y: -38.276049, Diameter of Cell: 0.078090
Watchtower ID: WT3226QUEJX, Postcode: 3226, Population Served: 4721, Watchtower Point of Contact Name: Mary Stephenson, x: 144.545686, y: -38.262557, Diameter of Cell: 0.118880
Watchtower ID: WT3085IMQNY, Postcode: 3085, Population Served: 13886, Watchtower Point of Contact Name: Henry Weichel, x: 145.079442, y: -37.735611, Diameter of Cell: 0.034846
Watchtower ID: WT3137CDPKF, Postcode: 3137, Population Served: 1541, Watchtower Point of Contact Name: Keith Stahlman, x: 145.315043, y: -37.812714, Diameter of Cell: 0.024972
Watchtower ID: WT3137XUGBY, Postcode: 3137, Population Served: 1541, Watchtower Point of Contact Name: Brittany Randle, x: 145.309785, y: -37.829666, Diameter of Cell: 0.032871
Watchtower ID: WT3137SRQVP, Postcode: 3137, Population Served: 1541, Watchtower Point of Contact Name: Michael Miller, x: 145.330963, y: -37.837057, Diameter of Cell: 0.036350
Watchtower ID: WT3137CZXZW, Postcode: 3137, Population Served: 1541, Watchtower Point of Contact Name: Edward Vargo, x: 145.330519, y: -37.821061, Diameter of Cell: 0.030997
Watchtower ID: WT3137MGNNQ, Postcode: 3137, Population Served: 1541, Watchtower Point of Contact Name: Paul Mccorkle, x: 145.300211, y: -37.806718, Diameter of Cell: 0.030302
Watchtower ID: WT3137MJNVX, Postcode: 3137, Population Served: 1541, Watchtower Point of Contact Name: Sophia Derentis, x: 145.312092, y: -37.799984, Diameter of Cell: 0.028506
Watchtower ID: WT3137PJCVG, Postcode: 3137, Population Served: 1541, Watchtower Point of Contact Name: Yolanda Stern, x: 145.328879, y: -37.830025, Diameter of Cell: 0.028494
Watchtower ID: WT3137PDNLC, Postcode: 3137, Population Served: 1541, Watchtower Point of Contact Name: Katherine Cortez, x: 145.315435, y: -37.815325, Diameter of Cell: 0.019550
Watchtower ID: WT3137ZASSV, Postcode: 3137, Population Served: 1541, Watchtower Point of Contact Name: Catherine Wilson, x: 145.310145, y: -37.806052, Diameter of Cell: 0.014026
Watchtower ID: WT3107BZRNW, Postcode: 3107, Population Served: 4517, Watchtower Point of Contact Name: Christopher Barnhart, x: 145.124748, y: -37.766003, Diameter of Cell: 0.024332
Watchtower ID: WT3107GYDUG, Postcode: 3107, Population Served: 4517, Watchtower Point of Contact Name: Stephen Gauger, x: 145.122233, y: -37.753813, Diameter of Cell: 0.017868
Watchtower ID: WT3107VOAOZ, Postcode: 3107, Population Served: 4517, Watchtower Point of Contact Name: Inez Jennings, x: 145.116299, y: -37.752394, Diameter of Cell: 0.026234
Watchtower ID: WT3556KXCCS, Postcode: 3556, Population Served: 3271, Watchtower Point of Contact Name: Arron Beauchamp, x: 144.088365, y: -36.713783, Diameter of Cell: 0.211398
Watchtower ID: WT3556NJQUO, Postcode: 3556, Population Served: 3271, Watchtower Point of Contact Name: Kevin Hackney, x: 144.180236, y: -36.706275, Diameter of Cell: 0.182216
Watchtower ID: WT3556PILGU, Postcode: 3556, Population Served: 3271, Watchtower Point of Contact Name: Regina Faust, x: 144.119933, y: -36.715167, Diameter of Cell: 0.174120
Watchtower ID: WT3556HIKOY, Postcode: 3556, Population Served: 3271, Watchtower Point of Contact Name: Diane Wright, x: 144.067872, y: -36.685859, Diameter of Cell: 0.253911
Watchtower ID: WT3355SMNPW, Postcode: 3355, Population Served: 6507, Watchtower Point of Contact Name: Garrett Wohner, x: 143.795439, y: -37.498486, Diameter of Cell: 0.304011
Watchtower ID: WT3355YJDEY, Postcode: 3355, Population Served: 6507, Watchtower Point of Contact Name: Isabelle Rice, x: 143.821358, y: -37.549311, Diameter of Cell: 0.233222
Watchtower ID: WT3194BAYCO, Postcode: 3194, Population Served: 12965, Watchtower Point of Contact Name: Jodi Hadden, x: 145.062477, y: -37.984143, Diameter of Cell: 0.068478
Watchtower ID: WT3142YDQRA, Postcode: 3142, Population Served: 6454, Watchtower Point of Contact Name: Martha Arterberry, x: 145.009155, y: -37.850321, Diameter of Cell: 0.019830
Watchtower ID: WT3142XWZQO, Postcode: 3142, Population Served: 6454, Watchtower Point of Contact Name: June Downer, x: 145.025691, y: -37.842355, Diameter of Cell: 0.029453
Watchtower ID: WT3305RFTWU, Postcode: 3305, Population Served: 3204, Watchtower Point of Contact Name: Harold Ferreira, x: 141.243893, y: -38.057775, Diameter of Cell: 0.560409
Watchtower ID: WT3305TLQLM, Postcode: 3305, Population Served: 3204, Watchtower Point of Contact Name: Randall Ruffner, x: 141.387024, y: -38.063547, Diameter of Cell: 0.375919
Watchtower ID: WT3305NMFYC, Postcode: 3305, Population Served: 3204, Watchtower Point of Contact Name: Larry Witter, x: 141.296434, y: -38.111671, Diameter of Cell: 0.149942
Watchtower ID: WT3305KWOFD, Postcode: 3305, Population Served: 3204, Watchtower Point of Contact Name: Judith Figueroa, x: 141.256448, y: -38.240793, Diameter of Cell: 1.046506
Watchtower ID: WT3018XAVWL, Postcode: 3018, Population Served: 12689, Watchtower Point of Contact Name: Helen Cannon, x: 144.775800, y: -37.849417, Diameter of Cell: 0.061053
Watchtower ID: WT3041ZBAWR, Postcode: 3041, Population Served: 3103, Watchtower Point of Contact Name: Eleanor Giles, x: 144.905723, y: -37.713577, Diameter of Cell: 0.054281
Watchtower ID: WT3041EFUEB, Postcode: 3041, Population Served: 3103, Watchtower Point of Contact Name: Mary Seda, x: 144.903180, y: -37.732505, Diameter of Cell: 0.030364
Watchtower ID: WT3041AJAHR, Postcode: 3041, Population Served: 3103, Watchtower Point of Contact Name: Marcelina Malone, x: 144.923376, y: -37.726327, Diameter of Cell: 0.027832
Watchtower ID: WT3041GXQOB, Postcode: 3041, Population Served: 3103, Watchtower Point of Contact Name: Sandra Linsley, x: 144.894305, y: -37.737252, Diameter of Cell: 0.043278
Watchtower ID: WT3250BJUFW, Postcode: 3250, Population Served: 6125, Watchtower Point of Contact Name: Howard Casey, x: 143.565823, y: -38.340870, Diameter of Cell: 0.311063
Watchtower ID: WT3250ORKZX, Postcode: 3250, Population Served: 6125, Watchtower Point of Contact Name: Dayle Ward, x: 143.560588, y: -38.320207, Diameter of Cell: 0.233983
Watchtower ID: WT3941IMDBZ, Postcode: 3941, Population Served: 12172, Watchtower Point of Contact Name: Christopher Ryan, x: 144.786305, y: -38.353220, Diameter of Cell: 0.383937
Watchtower ID: WT3025OMYBR, Postcode: 3025, Population Served: 2430, Watchtower Point of Contact Name: Georgene Mcvay, x: 144.872567, y: -37.834135, Diameter of Cell: 0.030660
Watchtower ID: WT3025JXFHB, Postcode: 3025, Population Served: 2430, Watchtower Point of Contact Name: Bonnie Downin, x: 144.811494, y: -37.830780, Diameter of Cell: 0.040833
Watchtower ID: WT3025SSHJN, Postcode: 3025, Population Served: 2430, Watchtower Point of Contact Name: Tyler Moons, x: 144.860706, y: -37.834815, Diameter of Cell: 0.063566
Watchtower ID: WT3025FPAHS, Postcode: 3025, Population Served: 2430, Watchtower Point of Contact Name: Joyce Munn, x: 144.795633, y: -37.826349, Diameter of Cell: 0.035289
Watchtower ID: WT3025UXSIE, Postcode: 3025, Population Served: 2430, Watchtower Point of Contact Name: Willie Laigo, x: 144.794293, y: -37.828818, Diameter of Cell: 0.039581
Watchtower ID: WT3089VZMEY, Postcode: 3089, Population Served: 5866, Watchtower Point of Contact Name: Gary Harper, x: 145.148781, y: -37.676517, Diameter of Cell: 0.060398
Watchtower ID: WT3089JYMHF, Postcode: 3089, Population Served: 5866, Watchtower Point of Contact Name: Dorothy Reid, x: 145.158570, y: -37.684864, Diameter of Cell: 0.051012
Watchtower ID: WT3078AEKPE, Postcode: 3078, Population Served: 11638, Watchtower Point of Contact Name: Dexter Good, x: 145.001406, y: -37.764934, Diameter of Cell: 0.030467
Watchtower ID: WT3034FCAXP, Postcode: 3034, Population Served: 2908, Watchtower Point of Contact Name: Winifred Sears, x: 144.868790, y: -37.755795, Diameter of Cell: 0.035926
Watchtower ID: WT3034DODDT, Postcode: 3034, Population Served: 2908, Watchtower Point of Contact Name: Olivia Mctigue, x: 144.861232, y: -37.771430, Diameter of Cell: 0.014315
Watchtower ID: WT3034ZYMIL, Postcode: 3034, Population Served: 2908, Watchtower Point of Contact Name: Donald Salvo, x: 144.847662, y: -37.751374, Diameter of Cell: 0.060669
Watchtower ID: WT3034BFDJN, Postcode: 3034, Population Served: 2908, Watchtower Point of Contact Name: Janice Johnson, x: 144.865488, y: -37.774191, Diameter of Cell: 0.023778
Watchtower ID: WT3631TQNZV, Postcode: 3631, Population Served: 2322, Watchtower Point of Contact Name: Jason Burkett, x: 145.436350, y: -36.319709, Diameter of Cell: 0.158486
Watchtower ID: WT3631NDVKY, Postcode: 3631, Population Served: 2322, Watchtower Point of Contact Name: Ernest Jarrell, x: 145.525356, y: -36.335961, Diameter of Cell: 0.154916
Watchtower ID: WT3631VJGLO, Postcode: 3631, Population Served: 2322, Watchtower Point of Contact Name: Nora Kelly, x: 145.454660, y: -36.453065, Diameter of Cell: 0.181008
Watchtower ID: WT3631QGZOC, Postcode: 3631, Population Served: 2322, Watchtower Point of Contact Name: Teresa Pickett, x: 145.447371, y: -36.375080, Diameter of Cell: 0.139048
Watchtower ID: WT3631ZSUMB, Postcode: 3631, Population Served: 2322, Watchtower Point of Contact Name: Thelma Carlton, x: 145.533913, y: -36.380074, Diameter of Cell: 0.143891
Watchtower ID: WT3197VSZGX, Postcode: 3197, Population Served: 5774, Watchtower Point of Contact Name: Mary Edwards, x: 145.156646, y: -38.080700, Diameter of Cell: 0.040831
Watchtower ID: WT3197HMHVF, Postcode: 3197, Population Served: 5774, Watchtower Point of Contact Name: Ann Somerville, x: 145.123105, y: -38.086812, Diameter of Cell: 0.098251
Watchtower ID: WT3057EKGHR, Postcode: 3057, Population Served: 11504, Watchtower Point of Contact Name: Rosemary Tiger, x: 144.979975, y: -37.773429, Diameter of Cell: 0.029313
Watchtower ID: WT3177XFTPO, Postcode: 3177, Population Served: 3768, Watchtower Point of Contact Name: Bonnie Studivant, x: 145.232230, y: -38.005354, Diameter of Cell: 0.046802
Watchtower ID: WT3177SLLBH, Postcode: 3177, Population Served: 3768, Watchtower Point of Contact Name: Rosetta Miller, x: 145.231629, y: -37.983639, Diameter of Cell: 0.046936
